flight,start_index,truth_path_km,lstm_mean_error_km,lstm_median_error_km,lstm_p95_error_km,lstm_path_error_km,great_circle_mean_error_km,great_circle_median_error_km,great_circle_p95_error_km,great_circle_path_error_km,linear_mean_error_km,linear_median_error_km,linear_p95_error_km,linear_path_error_km
000466_1744549567,22,726.0177539679745,32.2359113373006,31.63202060213966,56.98626909797257,61.10809505678105,37.762966933383524,27.834577980345777,80.99762041253673,-2.738510634726822,35.6363969031336,24.72738726269071,79.6706267918848,-2.6848739832784076
000466_1744549567,9,896.3708739661276,48.07388587908066,33.64295638427779,95.30631877054546,52.84247144347114,88.09039073931574,68.24090233925588,194.00294645837081,-4.691152311806491,88.49515695268383,68.28699134601986,193.39988489354602,-4.63420588771794
000466_1744549567,7,939.2329335476329,103.49877865891793,92.37294456727687,215.6200355683163,-25.54366968638601,79.53701811853223,84.19447338912255,117.89223518310905,-86.84941688912761,80.41271390683977,84.95735142465864,117.97723354652544,-86.7991629592077
000487_1718613772,3,1591.1049436444234,212.70699242064217,81.01447005267562,620.7203185888629,8.39482872523945,290.18803622683396,257.29394383453865,537.6296890850498,-175.08895370155915,287.89869208601107,252.43056638074336,532.3449996554235,-174.4578290441243
000487_1718613772,1,1660.363764050748,131.68375086667953,109.93924410176874,340.37340975696856,4.134884464985362,234.49290545643944,243.30056594481837,392.41509361042324,-160.06487502701816,235.58957050858868,250.11965151524802,393.62794444927925,-159.37916546768292
000487_1718613772,0,1786.4383902118411,127.35111086946513,113.39535839890823,273.6850497691735,-22.357239278334873,213.5179615941626,185.057706428516,383.6046022263336,-193.25723665053147,216.71487519561384,187.04194758147716,386.76926273370066,-192.48016857397033
000487_1719221157,1,575.984276956532,91.7431322477582,89.07253628757283,179.93537310058562,3.597674238575223,110.5385260074388,110.14884752514729,204.1924064880217,-57.163512397642535,110.47136934448065,110.06541510620409,204.08489614190773,-57.1526305665534
000487_1719221157,3,352.8585421590004,98.09728012192384,97.81332680465673,193.43695352097527,109.36265577072055,116.38881168279042,108.49412123005405,195.30446791749728,64.33589774682417,116.34437204510634,108.45489267711648,195.24911973558682,64.34119057679123
000487_1719221157,0,601.6715136706549,50.69849783870002,38.09640943454668,119.82754505788289,-9.329525738219786,80.90228515821029,71.00220984648828,166.05766438253326,-64.82970340817121,80.85222199932302,70.92889328649261,165.9464799737005,-64.81749973394881
000487_1740495986,4,147.9934168599184,45.67724518541688,47.32619828129931,68.12307906760553,-16.04614351178813,45.67285836216275,47.34689995349203,68.02248324674449,-16.917928476032415,45.67125365899243,47.35796966077364,68.01273701830888,-16.917564282174
000487_1740495986,1,603.2615499975326,162.43592964227815,165.1369106109599,312.3603222167026,-56.782263739594896,165.15401026036665,180.28385954140384,302.52797993896246,-80.34344867975494,165.10146354207046,180.19512588840848,302.48168595554756,-80.3288291139711
000487_1740495986,6,101.57851193868707,44.93390407246868,49.307794726060365,67.65174136022587,-2.17929983385379,44.86385069983329,49.32513412024238,67.50142940494104,-2.9488164125071563,44.8540066581358,49.30916057221762,67.48619285519293,-2.948676417680616
000487_1742915151,24,183.37164175997577,5.833703413634059,5.181190665965703,11.58212785908066,-5.123241394795372,5.9112073417437,5.299135071987114,11.473754431113475,-6.048212569322942,5.907478942676186,5.292567414109968,11.466905193924733,-6.047922320429109
000487_1742915151,17,172.25225946643235,6.432858338817992,6.575812022469341,11.698127044868285,-8.08373412480401,6.6022066930002765,6.90756566901445,11.560102886561769,-9.008917008548707,6.605607174671327,6.911340056353743,11.565500200327133,-9.008698845904973
000487_1742915151,11,147.73470586752802,13.570630024607373,11.565460241666717,27.626443222931396,14.861155289382936,13.855111280182214,11.90219346920942,27.628546398363074,12.292253827471484,13.835689322727964,11.879982668916261,27.613028802415673,12.292565523299032
000487_1744951707,41,192.27763452290247,8.149869777826284,8.66370784583852,16.555729742880658,-6.781360318920463,8.4310900463176,9.037530118044554,15.665168490665021,-8.744823097238793,8.436954704627995,9.041030398720746,15.67926081218324,-8.744196085745813
000487_1744951707,49,194.17250497144207,26.88050040154892,27.77272015846877,40.16774678296956,16.060330512214847,27.072342653181153,28.60540925942385,41.27261051749062,13.36271841278554,27.05340869138929,28.584511071353994,41.249520689124736,13.363665132906249
000487_1744951707,69,262.45012985772865,29.401453709198698,20.931142819593273,68.39183914757164,-23.38405440855729,30.365217044387357,21.69787145414108,69.350122071054,-26.949679818986112,30.34469625870755,21.666811328276147,69.29849397125591,-26.947978312152344
000488_1722237935,3,1114.9731438023696,74.41900455009889,19.193716847304646,333.472337703565,-1086.3897646612872,72.07461058339086,16.357110125598687,331.80058318850314,-1088.3780958194236,72.07474090450832,16.357305430814876,331.8007370178767,-1088.378093516365
000488_1722237935,1,1158.0250262575325,71.99387067441562,14.93378007411045,332.75573042990425,-1124.3696116011135,69.14156948552687,12.195214306149879,329.56781271560146,-1126.64129537502,69.14163665283385,12.195437119514338,329.5680718845065,-1126.6412916785032
000488_1722237935,7,0.9402460475791315,3.005418840990473,3.187823184839119,4.639970995948881,8.586881589548895,0.884097043412889,0.9552674580407747,1.6115026145002995,0.70086512194846,0.8840963856926709,0.9552666322110123,1.6115021728785583,0.7008651222898193
00048b_1719911898,31,317.1615509320729,102.73385338437447,67.455620477605,270.98322497929763,276.5629200404051,463.305080931013,455.3404946616191,789.9604716809573,127.55045921304645,463.263362797746,455.28409488447215,789.9364405781865,127.55305729693742
