flight,truth_gap_dist_km,truth_gap_co2_kg,truth_full_dist_km,truth_full_co2_kg,lstm_gap_dist_km,lstm_gap_dist_err_km,lstm_gap_co2_err_kg,lstm_full_dist_km,lstm_full_dist_err_km,lstm_full_co2_err_kg,great_circle_gap_dist_km,great_circle_gap_dist_err_km,great_circle_gap_co2_err_kg,great_circle_full_dist_km,great_circle_full_dist_err_km,great_circle_full_co2_err_kg,linear_gap_dist_km,linear_gap_dist_err_km,linear_gap_co2_err_kg,linear_full_dist_km,linear_full_dist_err_km,linear_full_co2_err_kg
01024c_1776766998,51.40898742471182,487.35720078626804,2169.0278290544566,20562.38381943625,43.47768648554886,-7.931300939162959,-75.18873290326485,2169.042292908043,0.014463853586221376,0.13711733199737866,42.80821412907698,-8.600773295634838,-81.53533084261827,2169.027729027092,-0.00010002736462411121,-0.0009482594166365743,42.80835012775355,-8.600637296958269,-81.5340415751644,2169.0278895689107,6.051445416233037e-05,0.0005736770254588919
01024d_1776765097,6.269079868503377,59.43087715341202,2180.036932150415,20666.750116785934,6.219151395851154,-0.049928472652223554,-0.4733219207430793,2180.0427459991765,0.005813848761590634,0.055115286259879215,6.191845077409477,-0.07723479109390041,-0.7321858195701759,2180.0368853147424,-4.683567249230691e-05,-0.00044400217522706954,6.19184547934191,-0.0772343891614673,-0.73218200925071,2180.036885789997,-4.636041785488487e-05,-0.0004394967612643086
010262_1776760481,85.74977437692928,812.9078610932896,2915.4932075781844,27638.87560784119,112.19803069645505,26.44825631952577,250.7294699091043,2915.8362170774153,0.3430094992309023,3.251730052708954,97.9690939606719,12.219319583742617,115.83914965388001,2915.4931768533993,-3.072478511967347e-05,-0.00029127096293450453,97.97064782835929,12.220873451430009,115.8538803195565,2915.4950047926513,0.0017972144669329282,0.01703759314652416
010265_1776772265,3.4828240897993785,33.01717237129811,2987.2929234266803,28319.536914084933,8.847013972837033,5.364189883037654,50.852520091196965,2987.2987474095057,0.005823982825404528,0.05521135718483493,8.829734574069548,5.346910484270169,50.6887113908812,2987.292836096926,-8.732975447856006e-05,-0.0008278860724567494,8.829735851905202,5.346911762105823,50.68872350476321,2987.2928375960655,-8.583061480749166e-05,-0.000813674228375021
010283_1776760898,9.502527282806529,90.08395864100589,3225.9032857401926,30581.563148817026,13.37987354040214,3.8773462575956117,36.7572425220064,3227.233604209558,1.3303184693654657,12.611419089584615,13.136140102549643,3.6336128197431137,34.44664953116472,3225.8895044362357,-0.01378130395687549,-0.13064676151117965,13.136145311356476,3.6336180285499466,34.446698910653495,3225.8895106702685,-0.013775069924122363,-0.13058766288068
010288_1776759637,9.684022872068942,91.80453682721358,3266.898112290112,30970.19410451026,12.369036655505692,2.68501378343675,25.45393066698039,3266.901713755956,0.003601465843985352,0.03414189620098114,12.425087258897122,2.74106438682818,25.985290387131148,3266.84467674829,-0.053435541821727384,-0.5065689364699756,12.425092257643673,2.741069385574731,25.98533777524845,3266.8446827898592,-0.05342950025260507,-0.506511662394696
020058_1776773152,56.33950343525421,534.0984925662099,2016.093422033098,19112.56564087377,56.461816240379896,0.12231280512568787,1.159525392591521,2016.089934902293,-0.0034871308050696825,-0.033058000032060594,56.38777741308697,0.0482739778327641,0.4576373098546037,2016.0855793838218,-0.007842649276199154,-0.07434831513836798,56.38802250000263,0.04851906474841883,0.4599607338150105,2016.0858685488467,-0.007553484251275222,-0.07160703070208911
02005b_1776755349,26.067875529523622,247.12346001988394,1956.7460309253574,18549.95237317239,30.194497249086616,4.126621719562994,39.120373901457185,1957.0006144540903,0.2545835287328373,2.413451852387298,29.53241710612146,3.4645415765978385,32.84385414614751,1956.7377351918028,-0.008295733554632534,-0.07864355409791643,29.532442630158425,3.4645671006348024,32.84409611401793,1956.7377665377633,-0.008264387594181244,-0.07834639439283819
02005b_1776771498,5.127213799793117,48.60598682203875,1912.6593803326086,18132.01092555313,5.0431064316826095,-0.08410736811050779,-0.7973378496876138,1912.6473309506077,-0.012049382000896003,-0.11422814136849412,5.067808069377992,-0.059405730415125646,-0.5631663243353912,1912.6277148046408,-0.031665527967788876,-0.30018920513463854,5.067808351980173,-0.05940544781294399,-0.563163645266709,1912.6277151443117,-0.031665188296983615,-0.30018598505540467
02005b_1776786874,3.3968419645001537,32.202061823461456,952.967813367,9034.13487071916,3.31395289058837,-0.08288907391178357,-0.7857884206837084,952.9581859125545,-0.00962745444542179,-0.09126826814259857,3.2651866409664856,-0.13165532353366816,-1.2480924670991742,952.9465351748682,-0.021278192131717333,-0.20171726140868032,3.265186664281076,-0.1316553002190779,-1.2480922460768584,952.9465352021598,-0.021278164840168756,-0.2017170026847998
